id,max_congestion_ripple,congestion_gradient,mean_macro_proximity,diagonal_cell_density_gradient,mean_cell_density_fluctuation,congestion_transition_amplitude,cell_density_variance_gradient,congestion_variability_throughout_hierarchy,cell_density_skewness,macro_transition_band,cell_density_skewness_gradient,macro_interaction_perimeter,macro_interference_zone,cell_density_dipole,macro_compactness_index,cell_density_anisotropy,congestion_pressure_fluctuation,mean_eGR_local_adjacent_cohesion,mean_eGR_local_variability,cell_density_fluctuation_balance,label
766-RISCY-a-2-c2-u0.7-m4-p8-f0.npy,0.09000000000000001,0.5007471783717545,0.5549394921693578,0.6934081111438295,0.6998776878978157,0.39605624566506065,0.42903222097979843,0.026266952909944692,0.07739934850607799,0.12558527029170657,0.02704899770121791,0.12149428272167484,0.26922081283976185,0.7109870046181936,0.11346601305515103,0.037356726227220624,0.21200434960189352,0.012832661337159528,0.00019648750714605884,2.622516604086182e-12,0
872-RISCY-a-2-c2-u0.75-m2-p1-f1.npy,0.060000000000000005,0.3864631924928676,0.6256216547636624,0.7189973976140591,0.7230304376179222,0.3167972690490521,0.3531436630190558,0.03801180878699614,0.06644861808468847,0.17694044084729432,0.017618833638128745,0.31680613432202726,0.21961558374320478,0.6365589088175274,0.5031123077921921,0.0360322204344254,0.14991022403691617,0.005340334979625765,0.00010127371842202233,4.190182059444266e-12,0
1710-RISCY-a-3-c5-u0.7-m1-p2-f1.npy,0.049999999999999996,0.5451099717585323,0.6284663032164943,0.64452931303413,0.6214437103222963,0.4337353222228266,0.15112724916756212,0.023385338234379233,0.06324926745523898,0.22256616902720988,0.025797851129740534,0.4035047097110748,0.2711784882215894,0.7826764042530341,0.6066883832213418,0.0423233117083439,0.2253696025874225,0.011572546199375299,0.0001923451578655966,3.7595060817253194e-12,0
1452-RISCY-a-3-c2-u0.8-m3-p5-f0.npy,0.37,0.2987924342984819,0.5127460504633649,0.5501972342788588,0.5870027236272197,0.26494900901122664,0.4564220305985161,0.02599562736258685,0.15749351822914412,0.2991559950302056,0.05741180670615391,0.4340116307380855,0.4720748123220295,0.6819353452905164,0.3551952801282462,0.06720571690450199,0.27539400565117494,0.07774984272194424,0.004235969874761907,1.425770667242037e-10,3987
216-RISCY-a-1-c2-u0.85-m3-p1-f1.npy,0.15,0.6941705484093552,0.305278937024055,0.5172697484974758,0.5525221423931979,0.6086460267270065,0.22076589110956876,0.055464017353640246,0.10162809814752224,0.15018563175604627,0.04004731756437803,0.22390480102264626,0.16698485632927773,0.9411985823219848,0.381088120178082,0.0687607428588327,0.3727306661576871,0.04343216073917096,0.0014013972974411507,5.371920162772685e-12,1447
313-RISCY-a-1-c5-u0.8-m1-p2-f0.npy,0.08,0.7287945260200279,0.5596399193130401,0.7260799863955028,0.7513418011379722,0.6092526688069573,0.5810685166402028,0.030993785247230794,0.06308006662291346,0.03821027681778756,0.023183532705831303,0.030492523314893494,0.13737703857105876,0.5394157448179571,0.04346401197279948,0.06886294989699975,0.30641651414321197,0.0368665805175332,0.0005087367036064515,4.667395869918672e-12,0
1754-RISCY-a-3-c5-u0.75-m3-p7-f1.npy,0.03,0.4952743110754976,0.6113628230825857,0.6966040904496322,0.6778978684089783,0.3754639352720761,0.188884982288866,0.016532129891599145,0.06037058627262151,0.281271215083054,0.02373754131663311,0.4216078849864124,0.29853740616101476,0.7078724089786275,0.5794487700576522,0.0478647320142014,0.18061718101840019,0.005869522631077507,8.973566141742388e-05,4.775091931679469e-12,0
1559-RISCY-a-3-c2-u0.85-m1-p1-f1.npy,0.09000000000000001,0.4512990800828269,0.4214431986288574,0.556844818025178,0.5797841686652951,0.3826195019216717,0.21999591884501885,0.051447846273897486,0.14241356787299167,0.35025080168652256,0.03857662603318496,0.4702006186202132,0.3776048407973077,0.8177961550853827,0.510368488482582,0.05414404661573706,0.2657574637708667,0.03788220450356518,0.0011208311273723133,5.111107953079211e-12,752
1078-RISCY-a-2-c5-u0.9-m3-p6-f0.npy,0.32,0.5604297317416398,0.08178233874659771,0.1857407457362426,0.19717201077090923,0.5529603512318941,0.1509629736644627,0.07623213808116894,0.393549626926457,0.021829344361444583,0.16330052963915986,0.13149607301743227,0.56903637069635,0.9967243045859737,0.04165996829901075,0.24498070020401774,0.6201658077075626,0.5428845521192539,0.2756645970093259,8.402448043674311e-10,8377
1426-RISCY-a-3-c2-u0.75-m4-p2-f0.npy,0.11,0.39719688512361523,0.40938863530844094,0.5971410526986523,0.5978588659704198,0.32968369150423626,0.42022592906329753,0.029190709207498493,0.11656362255459421,0.07693214358829316,0.03311093805163082,0.16961418258658206,0.27472171887134345,0.8089893674148856,0.10448197761816669,0.0411890604036151,0.1892231775722915,0.025415843753153505,0.00045624358747157866,3.1935589374467007e-12,0
263-RISCY-a-1-c5-u0.7-m2-p8-f0.npy,0.09000000000000001,0.5413874473544565,0.3515258954389006,0.6489733636815143,0.6549926246802986,0.4325533560531947,0.3230189286675192,0.023541675952491136,0.04995000480766343,0.039236482175865894,0.016479289000671,0.12433469099139577,0.14315298990421954,0.7824079046289336,0.18551599087926018,0.026419148057656036,0.2148383345610524,0.024579757595073963,0.000529511717934905,2.890628734564227e-12,0
