id,horizontal_power_distribution_symmetry,mean_power_sca,heat_intensity_correlation,central_power_saturation,vertical_power_distribution_symmetry,proximity_power_pattern_asymmetry,macro_power_proximity,mean_power_density_deviation,edge_power_intensity,power_sink_effect,mean_power_all,mean_power_i,power_balance_ratio,power_gradient_variation,localized_coupling_variability,power_intensity_anomaly_detection,localized_gradient_intensity,spatial_correlation_power_i,uniformity_index_power_i,spatial_density_power_i,label
766-RISCY-a-2-c2-u0.7-m4-p8-f0.npy,0.508587559262311,0.4353585307078584,0.2714613163033799,0.19912663107659734,0.2555197684610299,0.617065650156848,0.489489915326338,0.5398587883674488,0.42214302218524186,0.5624872192843504,0.46481122805850683,0.3304136919966931,0.8099627203441726,0.4686095122950829,0.5279687539382119,0.6335344929594131,0.5709457219373091,0.43397964757523366,0.46958261348870556,0.5435699705148559,25674
872-RISCY-a-2-c2-u0.75-m2-p1-f1.npy,0.590106413250351,0.49785664101851695,0.42872737155808727,0.2655387138523479,0.41345476415054533,0.8260420692575945,0.6567724194570316,0.7162472738947857,0.5498209420972444,0.7189416060780218,0.6459808664084472,0.5271377401524259,0.8452480730614824,0.6592939079176487,0.7659746756132588,0.7331676724647971,0.7821646126198458,0.6679278498815031,0.6908653246152605,0.6375141755500112,28281
1710-RISCY-a-3-c5-u0.7-m1-p2-f1.npy,0.3286299614611748,0.23294381039229378,0.24384788700201687,0.6411616667301786,0.37815750788162794,,0.5037836488538927,0.39604742979580687,0.4385969214231233,0.5751271203196636,0.4610929235062432,0.3129296728224892,0.7669484730989526,0.5772275365826407,0.5746994362531554,0.5725949591764288,0.531685665588369,0.35314170856627947,0.3903704671200261,0.44803810387843046,26122
1452-RISCY-a-3-c2-u0.8-m3-p5-f0.npy,0.30133995072313624,0.3618633855680374,0.39107411699410877,0.7481079203207236,0.5586820908653063,0.37888035012378385,0.32597269498627734,0.4919483091911283,0.46730885395060445,0.2890429354219599,0.37129756348740944,0.25008909695137005,0.8664030962037147,0.2591695672560976,0.362713707388663,0.48144203841754424,0.40651497613643867,0.2708296452486262,0.30721923612453605,0.322885007938308,19968
216-RISCY-a-1-c2-u0.85-m3-p1-f1.npy,0.6605096225858836,0.5022981877007724,0.36517882656980083,0.351133692649105,0.3621390019649725,0.7184329406704898,0.662205129207804,0.7343839555478509,0.43639456711755226,0.7579705991839728,0.5168732245902474,0.5799939291169859,0.8998034651752644,0.5282660178484135,0.6582419251612848,0.636413836626829,0.6691057904018411,0.6829379604128423,0.7048388241368595,0.6338398729870719,27095
313-RISCY-a-1-c5-u0.8-m1-p2-f0.npy,0.23930015428716533,0.37988459178438655,0.25857073860075674,0.3972333871466003,0.874494866439174,,0.6765473134486218,0.5455576265424371,0.574290924404901,0.7157480247564176,0.6525174587299029,0.4654935198853484,0.8358820194857965,0.671999527257493,0.7173419558608267,0.7517059125152841,0.6275195572863239,0.5658867616985096,0.5953558856780692,0.6476298480381039,27275
1754-RISCY-a-3-c5-u0.75-m3-p7-f1.npy,0.19330006012176332,0.2882898866142527,0.3507122105585867,0.6667587493688869,0.723477811292611,0.5426770309502303,0.5115284392252055,0.3747796400466521,0.31127911248100343,0.5968770259076034,0.3475864511409082,0.37817443111115956,0.8182968358881862,0.46894026369157743,0.4849114640756537,0.49098725989034825,0.45642933224055443,0.48556575668575896,0.51918758090605,0.4911771376729417,24685
1559-RISCY-a-3-c2-u0.85-m1-p1-f1.npy,0.2201335483168625,0.32499658157212813,0.4734737683027146,0.5748201794852374,0.7802765384923727,0.44544823901537833,0.39748356199534884,0.473028329576642,0.33094620267862357,0.3768212024861113,0.34743318012225605,0.43472887192264464,0.893334605489688,0.3544544968892221,0.41710927504487977,0.5191890506054511,0.42949359056354103,0.561230744031763,0.5909692177715569,0.4411431163529145,23134
1078-RISCY-a-2-c5-u0.9-m3-p6-f0.npy,0.4428432666618176,0.289873832357519,0.4325768814690467,0.4393685951246483,0.47512920415287846,0.5085141087320872,0.43809038348337537,0.6542334138597241,0.7245068754253203,0.5029859749500402,0.5570765099818601,0.411143005133897,0.9647459394196882,0.4100231053743087,0.4958784580752194,0.5869916775135091,0.4926866999496267,0.41026365897767614,0.44655069521085133,0.3564073486051259,19845
1426-RISCY-a-3-c2-u0.75-m4-p2-f0.npy,0.3084211328916786,0.18296520235447317,0.3850011002839322,0.3565609019302431,0.17621745706605857,0.35200750004254155,0.29000020279434774,0.28141748142765144,0.21107523944661288,0.2631826944807533,0.21931497205711814,0.37182351348331344,0.8388265105803826,0.317536770171918,0.2993588131226576,0.47347453950222845,0.27783275719023365,0.44605098420220934,0.48124791999569316,0.459559990927648,22533
